country,founded,id,industry,linkedin_url,locality,name,region,size,website,country_iso2
ukraine,2018,blackwood-games,computer games,linkedin.com/company/blackwood-games,,blackwood games,,201-500,blackwood.gg,UA
united states,2018,modus-games,computer games,linkedin.com/company/modus-games,walnut creek,modus games,california,51-200,modusgames.com,US
united states,2018,tektonic-llc,computer games,linkedin.com/company/tektonic-llc,warwick,tektonic llc,rhode island,1-10,tektonic.io,US
italy,2018,smallthing-studios,computer games,linkedin.com/company/smallthing-studios,genoa,smallthing studios,liguria,11-50,smallthingstudios.com,IT
iran,2018,playpod,computer games,linkedin.com/company/playpod,,playpod (cloud gaming platform for esports),,11-50,playpod.ir,IR
ukraine,2018,voki-games,computer games,linkedin.com/company/voki-games,,voki games,,201-500,vokigames.com,UA
indonesia,2018,brandovillestudios,computer games,linkedin.com/company/brandovillestudios,jakarta,brandoville studios,jakarta,51-200,brandoville.com,ID
australia,2018,bigesports,computer games,linkedin.com/company/bigesports,port melbourne,big esports,victoria,1-10,bigesports.gg,AU
mexico,2018,cococatstudios,computer games,linkedin.com/company/cococatstudios,monterrey,cococat studios,nuevo leon,1-10,,MX
spain,2018,team-dark-pirates,computer games,linkedin.com/company/team-dark-pirates,pamplona,team dark pirates,navarre,11-50,teamdarkpirates.com,ES
australia,2018,modiohq,computer games,linkedin.com/company/modiohq,south melbourne,mod.io,victoria,1-10,mod.io,AU
argentina,2018,ecole-esports,computer games,linkedin.com/company/ecole-esports,,ecole esports,buenos aires,11-50,ecoleesports.club,AR
united states,2018,budget-ship-interactive,computer games,linkedin.com/company/budget-ship-interactive,moorpark,budget ship interactive,california,1-10,budgetship.wordpress.com,US
indonesia,2018,telkom-university-esports,computer games,linkedin.com/company/telkom-university-esports,bandung,telkom university esports,jawa barat,201-500,,ID
,2018,salty-duck-studios,computer games,linkedin.com/company/salty-duck-studios,,salty duck studios,,1-10,saltyduckstudios.com,
philippines,2018,n-u-游戏公司,computer games,linkedin.com/company/n-u-游戏公司,manila,n.u 游戏公司,national capital region,1001-5000,,PH
australia,2018,ether-games-au,computer games,linkedin.com/company/ether-games-au,,ether games au,,1-10,ethergames.com.au,AU
romania,2018,polytope-studio,computer games,linkedin.com/company/polytope-studio,cluj-napoca,polytope studio,cluj,1-10,polytope.studio,RO
france,2018,ikigai-games,computer games,linkedin.com/company/ikigai-games,paris,ikigai games,ile-de-france,11-50,ikigai.games,FR
france,2018,g-g-o,computer games,linkedin.com/company/g-g-o,,global gaming organization,,51-200,ggo.ma,FR
united kingdom,2018,restart-studios,computer games,linkedin.com/company/restart-studios,london,restart studios,greater london,1-10,,GB
india,2018,papaya-games,computer games,linkedin.com/company/papaya-games,,papaya games,,11-50,papayagames.com,IN
kosovo,2018,start-gaming,computer games,linkedin.com/company/start-gaming,,start gaming,,1-10,,XK
united states,2018,holdgaming,computer games,linkedin.com/company/holdgaming,toledo,hold gaming inc,ohio,1-10,holdgaming.com,US
united kingdom,2018,ultragaming,computer games,linkedin.com/company/ultragaming,brent,ultra gaming ltd,greater london,1-10,startupdashgame.com,GB
australia,2018,meltcreativity,computer games,linkedin.com/company/meltcreativity,paddington,melt creativity,new south wales,11-50,meltcreativity.com,AU
sweden,2018,swmgames,computer games,linkedin.com/company/swmgames,karlshamn,something we made,blekinge,1-10,somethingwemade.se,SE
peru,2018,olimpo-squad,computer games,linkedin.com/company/olimpo-squad,lima,olimpo squad,lima,11-50,olimposquad.com,PE
united states,2018,mythical,computer games,linkedin.com/company/mythical,sherman oaks,mythical games,california,51-200,mythical.games,US
brazil,2018,nightlynxstudio,computer games,linkedin.com/company/nightlynxstudio,três corações,night lynx studio,minas gerais,1-10,nightlynxstudio.com,BR
turkey,2018,giganticgames,computer games,linkedin.com/company/giganticgames,,gigantic games,ankara,1-10,gigantic.gs,TR
france,2018,umeshi-lovers,computer games,linkedin.com/company/umeshi-lovers,toulouse,umeshu lovers,occitanie,1-10,forestofliars.com,FR
united states,2018,rad-magpie,computer games,linkedin.com/company/rad-magpie,burlington,rad magpie,vermont,1-10,radmagpie.org,US
canada,2018,leafmobile,computer games,linkedin.com/company/leafmobile,vancouver,leaf mobile inc.,british columbia,11-50,leafmobile.io,CA
peru,2018,virtual-magic-park-s-a-c,computer games,linkedin.com/company/virtual-magic-park-s-a-c,lima,virtual magic park s.a.c.,lima,1-10,,PE
india,2018,unitedgamersnetwork,computer games,linkedin.com/company/unitedgamersnetwork,new delhi,united gamers network,delhi,1-10,ugn.cafe,IN
united states,2018,inquiry-game-studios,computer games,linkedin.com/company/inquiry-game-studios,chicago,inquiry studios,illinois,1-10,inquirystudios.com,US
united kingdom,2018,utopian-game-labs,computer games,linkedin.com/company/utopian-game-labs,,utopian game labs,oxfordshire,1-10,utopian-game-labs.com,GB
hong kong,2018,ember-entertainment-limited-hk,computer games,linkedin.com/company/ember-entertainment-limited-hk,,ember entertainment limited.,,1-10,,HK
united states,2018,the-game-gym,computer games,linkedin.com/company/the-game-gym,potomac,the game gym,maryland,1-10,,US
united kingdom,2018,tinyplanetdev,computer games,linkedin.com/company/tinyplanetdev,,tiny planet games,middlesbrough,1-10,twitter.com/tinyplanetdev,GB
finland,2018,twisted-ark,computer games,linkedin.com/company/twisted-ark,helsinki,twisted ark,uusimaa,1-10,twistedark.com,FI
malaysia,2018,azure-tech,computer games,linkedin.com/company/azure-tech,sungai buloh,azure tech,selangor,1-10,facebook.com/azuretechcc,MY
united states,2018,bitgamer,computer games,linkedin.com/company/bitgamer,san ramon,bitgamer.io,california,11-50,bitgamer.io,US
germany,2018,esports-erlangen,computer games,linkedin.com/company/esports-erlangen,fürth,esports erlangen e.v.,bavaria,11-50,,DE
czechia,2018,gdacz,computer games,linkedin.com/company/gdacz,prague,czech game developers association,praha,1-10,gda.cz,CZ
india,2018,superlative-gaming,computer games,linkedin.com/company/superlative-gaming,,superlative gaming,,11-50,superlativegaming.in,IN
pakistan,2018,minilogix,computer games,linkedin.com/company/minilogix,lahore,mini logix studio,punjab,1-10,facebook.com/minilogixofficial,PK
brazil,2018,gamejamdasminas,computer games,linkedin.com/company/gamejamdasminas,recife,game jam das minas,pernambuco,1-10,jamdasminas.com.br,BR
united kingdom,2018,badfoxstudios,computer games,linkedin.com/company/badfoxstudios,fareham,bad fox studios,hampshire,11-50,badfoxstudios.com,GB
ukraine,2018,maincast,computer games,linkedin.com/company/maincast,,maincast,kyiv city,51-200,maincast.tv,UA
france,2018,protubevr,computer games,linkedin.com/company/protubevr,marseille,protubevr,provence-alpes-cote d'azur,1-10,protubevr.com,FR
colombia,2018,tylon-studios-company,computer games,linkedin.com/company/tylon-studios-company,,tylon studios,cundinamarca,1-10,tylonstudios.com,CO
france,2018,sentry-games,computer games,linkedin.com/company/sentry-games,rennes,sentry games,bretagne,1-10,sentry-games.com,FR
united kingdom,2018,ingame-dundee,computer games,linkedin.com/company/ingame-dundee,dundee,ingame: innovation for games and media enterprise,dundee city,1-10,innovationforgames.com,GB
singapore,2018,caesiumlab,computer games,linkedin.com/company/caesiumlab,singapore,caesiumlab,central singapore,11-50,caesiumlab.com,SG
turkey,2018,sisyphos-games,computer games,linkedin.com/company/sisyphos-games,umraniye,sisyphos game studio,istanbul,1-10,sisyphosgames.com,TR
turkey,2018,kapps-games,computer games,linkedin.com/company/kapps-games,,kapps games,istanbul,1-10,kappsgames.com,TR
,2018,hyper-hq,computer games,linkedin.com/company/hyper-hq,,hyper hq,,1-10,hyperhq.io,
austria,2018,enlightened-robot-entertainment,computer games,linkedin.com/company/enlightened-robot-entertainment,vienna,enlightened robot entertainment gmbh,wien,1-10,enlightenedrobot.com,AT
sweden,2018,wishfully,computer games,linkedin.com/company/wishfully,gothenburg,wishfully,västra götaland,1-10,wishfullystudios.com,SE
,2018,king-casino,computer games,linkedin.com/company/king-casino,,king casino,,201-500,kingcasino.it,
united states,2018,firewalkstudios,computer games,linkedin.com/company/firewalkstudios,bellevue,firewalk studios,washington,51-200,firewalkstudios.com,US
netherlands,2018,esportsclub,computer games,linkedin.com/company/esportsclub,,esports club,,11-50,esportsclub.nl,NL
turkey,2018,redstudios,computer games,linkedin.com/company/redstudios,istanbul,red studios,istanbul,1-10,,TR
denmark,2018,winterpath,computer games,linkedin.com/company/winterpath,,winterpath,,1-10,winterpath.io,DK
united kingdom,2018,squid-networks,computer games,linkedin.com/company/squid-networks,,squid networks,,1-10,squidnetworks.io,GB
iran,2018,gameiranstore,computer games,linkedin.com/company/gameiranstore,rasht,gameiranstore,gilan,1-10,gameiranstore.ir,IR
united states,2018,aga-pito-studios,computer games,linkedin.com/company/aga-pito-studios,fort wayne,"aga pito studios, llc",indiana,1-10,agapitostudios.com,US
sweden,2018,embark-studios-ab,computer games,linkedin.com/company/embark-studios-ab,,embark studios,,51-200,embark-studios.com,SE
,2018,bit-roll,computer games,linkedin.com/company/bit-roll,,bit roll,,1-10,,
canada,2018,the-missing-few,computer games,linkedin.com/company/the-missing-few,toronto,"missing game studio, ltd.",ontario,1-10,themissingfew.com,CA
germany,2018,ingenium-ralph-meyer,computer games,linkedin.com/company/ingenium-ralph-meyer,dresden,ingenium ralph meyer,saxony,1-10,myingenium.de,DE
brazil,2018,opernhaus-game-studio,computer games,linkedin.com/company/opernhaus-game-studio,,opernhaus game studio,,1-10,opernhausgamestudio.com,BR
bahrain,2018,thestoriesstudio,computer games,linkedin.com/company/thestoriesstudio,manama,the stories studio,manama,1-10,thestoriesstudio.com,BH
united states,2018,quickstep-labs,computer games,linkedin.com/company/quickstep-labs,portland,quickstep labs,oregon,1-10,quicksteplabs.com,US
spain,2018,6kskin,computer games,linkedin.com/company/6kskin,barcelona,6kskin,catalonia,1-10,6kskin.com,ES
united kingdom,2018,afk-creators,computer games,linkedin.com/company/afk-creators,london,afk creators,london,11-50,afkcreators.com,GB
turkey,2018,turkish-community-league,computer games,linkedin.com/company/turkish-community-league,,turkish community league,elazığ,1-10,turkishcommunity.pro,TR
united states,2018,headcoachgames,computer games,linkedin.com/company/headcoachgames,plymouth,head coach games,minnesota,1-10,headcoachgames.com,US
guatemala,2018,mayan-esports,computer games,linkedin.com/company/mayan-esports,guatemala city,mayan esports,guatemala,51-200,,GT
united states,2018,side-hustle-gaming,computer games,linkedin.com/company/side-hustle-gaming,los angeles,side hustle gaming,california,1-10,sidehustlegaming.com,US
germany,2018,massiveminiteam,computer games,linkedin.com/company/massiveminiteam,,massive miniteam gmbh,,11-50,massiveminiteam.com,DE
,2018,crafty-savage-studio,computer games,linkedin.com/company/crafty-savage-studio,,crafty savage studio,,11-50,craftysavage.studio,
united states,2018,ethereanetwork,computer games,linkedin.com/company/ethereanetwork,,etherea network,,1-10,playetherea.net,US
hong kong,2018,ljq-esport,computer games,linkedin.com/company/ljq-esport,hong kong,ljq esport,central and western,1-10,ljqesport.com,HK
france,2018,rundisc,computer games,linkedin.com/company/rundisc,fenouillet,rundisc,occitanie,1-10,rundisc.io,FR
,2018,polyart-studio,computer games,linkedin.com/company/polyart-studio,,polyart studio,,1-10,polyart.io,
brazil,2018,manalith-studios,computer games,linkedin.com/company/manalith-studios,,manalith studios,,1-10,manalithstudios.github.io,BR
turkey,2018,endlessgames,computer games,linkedin.com/company/endlessgames,,endless games,,1-10,,TR
netherlands,2018,esportscab,computer games,linkedin.com/company/esportscab,almere,esportscab,flevoland,1-10,esports.cab,NL
belgium,2018,mantis-games-be,computer games,linkedin.com/company/mantis-games-be,,mantis games,,1-10,mantis.games,BE
chile,2018,raincup-games,computer games,linkedin.com/company/raincup-games,concon,raincup games,valparaiso,1-10,raincupgames.com,CL
brazil,2018,latampl,computer games,linkedin.com/company/latampl,uberlândia,latam esports leagues,minas gerais,11-50,latampl.pro,BR
,2018,reality-crisis,computer games,linkedin.com/company/reality-crisis,,reality crisis,,1-10,realitycrisis.io,
spain,2018,the-greyskull-company,computer games,linkedin.com/company/the-greyskull-company,,the greyskull company,madrid,1-10,greyskull.co,ES
iran,2018,radgamestudio,computer games,linkedin.com/company/radgamestudio,,rad game studio,zanjan,1-10,radgamestudio.ir,IR
belarus,2018,roguearts,computer games,linkedin.com/company/roguearts,,rogue arts,,11-50,roguearts.io,BY
,2018,yara-homemade-games,computer games,linkedin.com/company/yara-homemade-games,,yara homemade games,,1-10,,
new zealand,2018,wanderer-ltd,computer games,linkedin.com/company/wanderer-ltd,,wanderer ltd,,11-50,wanderervr.com,NZ
spain,2018,kirolarima,computer games,linkedin.com/company/kirolarima,,kirol arima s.l.,madrid,1-10,kirolarima.com,ES
turkey,2018,worntown,computer games,linkedin.com/company/worntown,istanbul,bunchframe,istanbul,1-10,worntowngames.com,TR
,2018,proplayesports,computer games,linkedin.com/company/proplayesports,,pro play esports,,11-50,proplayesports.com,
united states,2018,esportsohio,computer games,linkedin.com/company/esportsohio,tiffin,esports ohio,ohio,1-10,esportsohio.org,US
united kingdom,2018,retro-electro-models-ltd,computer games,linkedin.com/company/retro-electro-models-ltd,,retro electro models ltd,,1-10,retroelectromodels.com,GB
spain,2018,f2p-campus,computer games,linkedin.com/company/f2p-campus,alava,f2p campus,asturias,1-10,f2pcampus.com,ES
australia,2018,saltydogstudios,computer games,linkedin.com/company/saltydogstudios,perth,salty dog studios,western australia,1-10,legaciesthegame.com,AU
ireland,2018,dublin-games-summit,computer games,linkedin.com/company/dublin-games-summit,dublin,dublin games summit,dublin,1-10,dublingamessummit.ie,IE
canada,2018,viceversagames,computer games,linkedin.com/company/viceversagames,vancouver,vice versa games inc.,british columbia,1-10,viceversa.games,CA
france,2018,eworld-in-progress,computer games,linkedin.com/company/eworld-in-progress,paris,eworld in progress,ile-de-france,11-50,twitter.com/ewipdigital,FR
nepal,2018,dark-matter-game-production,computer games,linkedin.com/company/dark-matter-game-production,,dark matter game production,,1-10,darkmattergame.net,NP
turkey,2018,people-person-games,computer games,linkedin.com/company/people-person-games,izmir,people person games,izmir,1-10,peopleperson.games,TR
,2018,devtalkbr,computer games,linkedin.com/company/devtalkbr,,devtalk br,,1-10,spotify.com/show/3ukplddxbakn57vnwshizd,
germany,2018,esports-agency-gg,computer games,linkedin.com/company/esports-agency-gg,,esports agency gg,berlin,1-10,esports-agency.gg,DE
france,2018,owep,computer games,linkedin.com/company/owep,ceret,team owep,pyrénées-orientales,1-10,owepesport.fr,FR
brazil,2018,vaggasbr,computer games,linkedin.com/company/vaggasbr,recife,vaggas br,pernambuco,1-10,htmr.kr,BR
united states,2018,gifyourgame,computer games,linkedin.com/company/gifyourgame,santa monica,gif your game,california,1-10,gifyourgame.com,US
france,2018,la-poule-noire-jv,computer games,linkedin.com/company/la-poule-noire-jv,france,la poule noire,aquitaine,1-10,lapoulenoire.fr,FR
brazil,2018,level-cap-studios,computer games,linkedin.com/company/level-cap-studios,,level cap studios,,1-10,levelcapstudios.com,BR
mexico,2018,trailer-crafters,computer games,linkedin.com/company/trailer-crafters,zapopan,trailer crafters - forge your trailer today!,jalisco,11-50,trailercrafters.com,MX
united kingdom,2018,so-and-so-games,computer games,linkedin.com/company/so-and-so-games,gloucester,so and so games,gloucestershire,1-10,soandsogames.co.uk,GB
united states,2018,monstersquad,computer games,linkedin.com/company/monstersquad,seattle,monster squad,washington,1-10,monstersquadgames.com,US
venezuela,2018,empiric-games,computer games,linkedin.com/company/empiric-games,valencia,"empiric games, llc",carabobo,1-10,empiricgames.com,VE
russia,2018,syntcheticdomain,computer games,linkedin.com/company/syntcheticdomain,,syntchetic domain,sakhalin,11-50,linktr.ee/syntheticdomain,RU
france,2018,nantes-esport,computer games,linkedin.com/company/nantes-esport,nantes,nantes esport,pays de la loire,1-10,nantes-esport.com,FR
poland,2018,itemido,computer games,linkedin.com/company/itemido,warsaw,itemido,mazovia,1-10,itemido.com,PL
china,2018,netvios,computer games,linkedin.com/company/netvios,jiang,网易影核 netvios,qinghai,11-50,,CN
india,2018,stareout-games,computer games,linkedin.com/company/stareout-games,hyderabad,stareout games,telangana,11-50,stareoutgames.in,IN
denmark,2018,aretegg,computer games,linkedin.com/company/aretegg,,arete aps,,1-10,arete.gg,DK
brazil,2018,spseal-game-studio,computer games,linkedin.com/company/spseal-game-studio,,spseal game studio,rio de janeiro,1-10,spsealgamestudio.com,BR
united states,2018,juicybyte,computer games,linkedin.com/company/juicybyte,vista,juicybyte,california,1-10,juicybyte.net,US
turkey,2018,boombyte-turkey,computer games,linkedin.com/company/boombyte-turkey,,boombyte turkey,istanbul,1-10,,TR
croatia,2018,panzer-division-games,computer games,linkedin.com/company/panzer-division-games,split,panzer division games,split-dalmatia,1-10,attackatdawn.com,HR
,2018,appicgames,computer games,linkedin.com/company/appicgames,,appic games,,1-10,games.appicdesign.com,
canada,2018,blackhold-studios,computer games,linkedin.com/company/blackhold-studios,niagara falls,blackhold studios,ontario,1-10,blackholdstudios.com,CA
sweden,2018,gamehabitat-devhub,computer games,linkedin.com/company/gamehabitat-devhub,,game habitat devhub,skåne,1-10,,SE
canada,2018,afternoon-apps,computer games,linkedin.com/company/afternoon-apps,mississauga,afternoon apps inc.,ontario,1-10,afternoonapps.com,CA
belgium,2018,get-up-games,computer games,linkedin.com/company/get-up-games,,get up games,,1-10,getupgamesofficial.com,BE
turkey,2018,gorilla-softworks,computer games,linkedin.com/company/gorilla-softworks,,gorilla softworks,i̇zmir,1-10,gorillasoftworks.com,TR
united states,2018,snipsnap-games,computer games,linkedin.com/company/snipsnap-games,hawthorne,snipsnap games,california,11-50,snipsnapgames.com,US
,2018,collision-check-games,computer games,linkedin.com/company/collision-check-games,,collision check games,,1-10,collisioncheck.games,
canada,2018,mgnstudios,computer games,linkedin.com/company/mgnstudios,delta,mgn studios,british columbia,1-10,mgnstudios.com,CA
australia,2018,exo-pexo,computer games,linkedin.com/company/exo-pexo,melbourne,exo pexo,victoria,1-10,exopexo.com,AU
new zealand,2018,snow-fox-games,computer games,linkedin.com/company/snow-fox-games,auckland,snow fox games,auckland,1-10,towncenter.app,NZ
united kingdom,2018,quizl,computer games,linkedin.com/company/quizl,london,quizl,england,1-10,quizl.app,GB
india,2018,zhakaas-games,computer games,linkedin.com/company/zhakaas-games,ahmadabad,zhakaas games,gujarat,11-50,zhakaasgames.com,IN
israel,2018,banditos-studio,computer games,linkedin.com/company/banditos-studio,dan,banditos studio,hazafon,1-10,,IL
,2018,mbuyisatech,computer games,linkedin.com/company/mbuyisatech,,mbuyisatech,,1-10,,
canada,2018,kitten-cup-studio,computer games,linkedin.com/company/kitten-cup-studio,toronto,kitten cup studio,ontario,1-10,,CA
united states,2018,big-byte-studios,computer games,linkedin.com/company/big-byte-studios,haines city,"big byte studios, inc.",florida,1-10,bigbytestudios.com,US
united states,2018,burgosgames,computer games,linkedin.com/company/burgosgames,beaufort,burgos games llc,south carolina,1-10,burgosgames.com,US
germany,2018,social-anvil-ug-haftungsbeschränkt,computer games,linkedin.com/company/social-anvil-ug-haftungsbeschränkt,hungen,social anvil ug (haftungsbeschränkt),hesse,1-10,socialanvil.de,DE
ivory coast,2018,electronic-tournament-african-sports-etas,computer games,linkedin.com/company/electronic-tournament-african-sports-etas,,electronic tournament african sports (etas),,1-10,etas-lolesport.com,CI
united kingdom,2018,late-knight-studios,computer games,linkedin.com/company/late-knight-studios,wales,late knight studios,rotherham,1-10,instagram.com/lateknightstudios,GB
italy,2018,eye-bags-studio,computer games,linkedin.com/company/eye-bags-studio,torino,eye bags studio,piedmont,1-10,eyebagsstudio.com,IT
poland,2018,spokko,computer games,linkedin.com/company/spokko,,spokko,,11-50,spokko.com,PL
kenya,2018,africa-esports-championship,computer games,linkedin.com/company/africa-esports-championship,nairobi,africa esports championship,nairobi area,1-10,aec.africa,KE
canada,2018,oflgnd,computer games,linkedin.com/company/oflgnd,vancouver,lgnd,british columbia,1-10,medium.com/oflgnd,CA
canada,2018,bootjet-games,computer games,linkedin.com/company/bootjet-games,montreal,bootjet games studio,quebec,1-10,bootjetgames.com,CA
india,2018,dreamverse,computer games,linkedin.com/company/dreamverse,bengaluru,dreamverse,karnataka,1-10,dreamverse.io,IN
germany,2018,beeedo,computer games,linkedin.com/company/beeedo,bad homburg,bxdxo | marketing services,hesse,1-10,bxdxo.com,DE
india,2018,aekka-creation,computer games,linkedin.com/company/aekka-creation,gandhinagar,aekka creation,gujarat,1-10,,IN
india,2018,virtual-arena-gaming-lounge,computer games,linkedin.com/company/virtual-arena-gaming-lounge,,virtual arena gaming lounge,kerala,1-10,,IN
,2018,cloaked-tiger-game-studio,computer games,linkedin.com/company/cloaked-tiger-game-studio,,cloaked tiger game studio,,1-10,cloakedtiger.com,
united states,2018,bad-dream-games,computer games,linkedin.com/company/bad-dream-games,los angeles,bad dream games,california,1-10,baddreamgames.com,US
new zealand,2018,bardsley-creative,computer games,linkedin.com/company/bardsley-creative,hamilton,bardsley creative,waikato,1-10,bardsley-creative.itch.io,NZ
canada,2018,turboplay,computer games,linkedin.com/company/turboplay,fredericton,turboplay,new brunswick,1-10,turboplay.com,CA
netherlands,2018,gamelab-oost,computer games,linkedin.com/company/gamelab-oost,enschede,stichting gamelab oost,overijssel,1-10,gamelaboost.nl,NL
canada,2018,barnaque,computer games,linkedin.com/company/barnaque,montreal,barnaque,quebec,1-10,barnaque.com,CA
united states,2018,moon-control-studio,computer games,linkedin.com/company/moon-control-studio,philadelphia,moon control studio,pennsylvania,1-10,mooncontrolstudio.com,US
australia,2018,classy-bogan-studios,computer games,linkedin.com/company/classy-bogan-studios,adelaide,classy bogan studios,south australia,1-10,classybogan.com,AU
taiwan,2018,cloisters-interactive,computer games,linkedin.com/company/cloisters-interactive,,cloisters,,1-10,cloisters.games,TW
spain,2018,dixper,computer games,linkedin.com/company/dixper,,dixper,madrid,1-10,dixper.gg,ES
,2018,dragon-age-day,computer games,linkedin.com/company/dragon-age-day,,dragon age day,,11-50,dragonageday.com,
el salvador,2018,gunstone-studios,computer games,linkedin.com/company/gunstone-studios,san salvador,gunstone studios,san salvador,1-10,gunstone-studios.com,SV
united states,2018,runeai,computer games,linkedin.com/company/runeai,san francisco,rune,california,1-10,rune.ai,US
belgium,2018,netgenentertainment,computer games,linkedin.com/company/netgenentertainment,,netgen esports,,1-10,netgen-esports.be,BE
turkey,2018,creativeart-games,computer games,linkedin.com/company/creativeart-games,çankaya,creativeart games,ankara,1-10,creativeartgames.com,TR
israel,2018,pixi-gaming,computer games,linkedin.com/company/pixi-gaming,,pixi gaming,,1-10,pixigaming.com,IL
united states,2018,davydigital,computer games,linkedin.com/company/davydigital,golden,davy digital llc,colorado,1-10,davydigital.com,US
united states,2018,jurassic-sunset-games,computer games,linkedin.com/company/jurassic-sunset-games,west palm beach,jurassic sunset games,florida,1-10,jurassicsunsetgames.com,US
turkey,2018,ponyomgames,computer games,linkedin.com/company/ponyomgames,istanbul,ponyom games,istanbul,1-10,ponyom.com,TR
france,2018,team-ase,computer games,linkedin.com/company/team-ase,bordeaux,team ase,nouvelle-aquitaine,11-50,,FR
,2018,renderer-games-studio,computer games,linkedin.com/company/renderer-games-studio,,renderer game studios,,11-50,,
spain,2018,asociacionclubesesports,computer games,linkedin.com/company/asociacionclubesesports,malaga,asociación de clubes de esports,andalucia,1-10,asociacionclubesports.org,ES
united kingdom,2018,pandapus,computer games,linkedin.com/company/pandapus,cheshire,pandapus,cheshire,1-10,pandapus.co.uk,GB
united states,2018,8-byte-technology-inc,computer games,linkedin.com/company/8-byte-technology-inc,cedar park,8 byte technology inc.,texas,1-10,8bytetech.com,US
united states,2018,global-egamer,computer games,linkedin.com/company/global-egamer,new york,global egamer,new york,1-10,egamerlatam.com,US
united states,2018,play-holding,computer games,linkedin.com/company/play-holding,new york,play holding,new york,11-50,playholding.com,US
pakistan,2018,undergroundstudio,computer games,linkedin.com/company/undergroundstudio,,underground studio,punjab,11-50,undergroundstudio.co,PK
united states,2018,sonamu-games,computer games,linkedin.com/company/sonamu-games,,sonamu games llc,,1-10,sonamugames.com,US
germany,2018,tobspr-games,computer games,linkedin.com/company/tobspr-games,,tobspr games,,1-10,tobspr.io,DE
australia,2018,forgotten-isle-studios,computer games,linkedin.com/company/forgotten-isle-studios,hobart,forgotten isle studios,tasmania,1-10,forgottenislestudios.com,AU
united states,2018,braintreehouse,computer games,linkedin.com/company/braintreehouse,lindon,braintreehouse,utah,1-10,braintreehouse.com,US
france,2018,ohm-games,computer games,linkedin.com/company/ohm-games,paris,ohm games,ile-de-france,1-10,ohm-games.com,FR
united states,2018,crouchjump,computer games,linkedin.com/company/crouchjump,houston,crouchjump.com,texas,1-10,crouchjump.com,US
united states,2018,captiveplay,computer games,linkedin.com/company/captiveplay,irvine,captiveplay llc,california,1-10,captiveplay.com,US
united states,2018,levelsandbosses,computer games,linkedin.com/company/levelsandbosses,miami,levels&bosses,florida,1-10,levelsandbosses.com,US
united states,2018,drf,computer games,linkedin.com/company/drf,san francisco,drf,california,1-10,dr-rec-fac.com,US
australia,2018,sixsenseimmersive,computer games,linkedin.com/company/sixsenseimmersive,sydney,sixsense studios,new south wales,1-10,sixsensestudios.com,AU
australia,2018,not-chicken-games,computer games,linkedin.com/company/not-chicken-games,nedlands,not chicken games,western australia,1-10,notchickengames.com.au,AU
turkey,2018,red-light-game-studios,computer games,linkedin.com/company/red-light-game-studios,karsiyaka,red light game studios,izmir,1-10,red-light.studio,TR
united kingdom,2018,esports-scotland,computer games,linkedin.com/company/esports-scotland,,esports scotland,,11-50,esportsscotland.co.uk,GB
ukraine,2018,cis-esports,computer games,linkedin.com/company/cis-esports,,cis esports,kharkiv,11-50,cisesports.com,UA
malaysia,2018,monash-esports-club,computer games,linkedin.com/company/monash-esports-club,subang jaya,monash esports club,selangor,1-10,,MY
united states,2018,perfectly-imperfect-productions,computer games,linkedin.com/company/perfectly-imperfect-productions,long beach,perfectly imperfect productions™,california,1-10,perfectlyimperfect.productions,US
netherlands,2018,talisman-games,computer games,linkedin.com/company/talisman-games,,talisman.games,,1-10,talisman.games,NL
france,2018,lanslotapp,computer games,linkedin.com/company/lanslotapp,paris,lanslot,ile-de-france,1-10,lanslot.app,FR
singapore,2018,gamedex,computer games,linkedin.com/company/gamedex,,gamedex,,11-50,gamedex.co,SG
malta,2018,polker,computer games,linkedin.com/company/polker,gzira,polker,il-gżira,11-50,linktr.ee/polkergame,MT
united kingdom,2018,bgi-national-videogame-museum,computer games,linkedin.com/company/bgi-national-videogame-museum,yorkshire,bgi / national videogame museum,north yorkshire,11-50,thebgi.uk,GB
brazil,2018,brasil-capital-roleplay,computer games,linkedin.com/company/brasil-capital-roleplay,,brasil capital roleplay,,1-10,bcrp.com.br,BR
united states,2018,indiestorm,computer games,linkedin.com/company/indiestorm,los angeles,"indiestorm, inc",california,1-10,indiestorm.io,US
canada,2018,hinge-games,computer games,linkedin.com/company/hinge-games,montreal,hinge games,quebec,1-10,hingegames.com,CA
spain,2018,huntthenight,computer games,linkedin.com/company/huntthenight,jaén,hunt the night,andalusia,1-10,huntthenight.com,ES
united kingdom,2018,magnetic-arcade,computer games,linkedin.com/company/magnetic-arcade,london,magnetic arcade,england,1-10,magneticarcade.com,GB
yemen,2018,arkadiastu,computer games,linkedin.com/company/arkadiastu,,arkadia studio,,1-10,arkadiastu.com,YE
united states,2018,mutantarmstudios,computer games,linkedin.com/company/mutantarmstudios,bend,mutant arm studios,oregon,11-50,mutantarm.com,US
united kingdom,2018,shifting-tides-studio,computer games,linkedin.com/company/shifting-tides-studio,london,shifting tides,london,1-10,shiftingtides.studio,GB
india,2018,guideofgamedev,computer games,linkedin.com/company/guideofgamedev,,guideofgamedev,,1-10,guideofgamedev.com,IN
united states,2018,dr-bloc,computer games,linkedin.com/company/dr-bloc,lakewood,dr. bloc,ohio,1-10,drbloc.com,US
